frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00075708,1320.87,0.000000,0.101510,2.432520,0,0,0
0.00076606,1305.38,0.000000,0.142815,1.472699,0,0,0
0.00077515,1290.07,0.000000,0.975720,1.060423,0,0,0
0.00078435,1274.95,0.000000,1.039005,3.452232,0,0,0
0.00079365,1259.99,0.000000,0.174535,2.470243,0,0,0
0.00080307,1245.22,0.000000,0.152690,0.096377,0,0,0
0.00081260,1230.62,0.000000,0.549336,1.326637,0,0,0
0.00082224,1216.19,0.000000,0.427790,0.988032,0,0,0
0.00083200,1201.93,0.000000,0.306244,0.228027,0,0,0
0.00084187,1187.83,0.000000,0.081323,1.583259,0,0,0
0.00085186,1173.90,0.000000,0.066874,0.815241,0,0,0
0.00086197,1160.14,0.000000,0.342016,0.390171,0,0,0
0.00087220,1146.53,0.000000,0.163896,0.556894,0,0,0
0.00088255,1133.09,0.000000,0.186883,0.226661,0,0,0
0.00089302,1119.80,0.000000,0.219703,2.106329,0,0,0
0.00090361,1106.67,0.000000,0.144350,2.765994,0,0,0
0.00091434,1093.69,0.000000,0.550109,1.527238,0,0,0
0.00092518,1080.87,0.000000,0.297194,0.971010,0,0,0
0.00093616,1068.19,0.000000,0.097221,0.904704,0,0,0
0.00094727,1055.66,0.000000,0.491674,0.347313,0,0,0
0.00095851,1043.29,0.000000,0.308083,1.009274,0,0,0
0.00096988,1031.05,0.000000,0.135834,1.324169,0,0,0
0.00098139,1018.96,0.000000,0.271541,0.096288,0,0,0
0.00099304,1007.01,0.000000,0.219922,2.292319,0,0,0
0.00100482,995.20,0.000000,0.116117,1.421299,0,0,0
0.00101674,983.53,0.000000,0.100367,0.211363,0,0,0
0.00102881,972.00,0.000000,0.073307,0.944432,0,0,0
0.00104101,960.60,0.000000,0.098737,0.281400,0,0,0
0.00105337,949.34,0.000000,0.043552,0.177420,0,0,0
0.00106587,938.20,0.000000,0.157608,0.249049,0,0,0
0.00107851,927.20,0.000000,0.016417,1.162949,0,0,0
0.00109131,916.33,0.000000,0.146479,0.318424,0,0,0
0.00110426,905.58,0.000000,0.229728,0.177722,0,0,0
0.00111736,894.97,0.000000,0.142370,0.196674,0,0,0
0.00113062,884.47,0.000000,0.129350,0.216519,0,0,0
0.00114404,874.10,0.000000,0.390949,0.890399,0,0,0
0.00115761,863.85,0.000000,0.261311,0.465211,0,0,0
0.00117135,853.72,0.000000,0.137096,0.000283,0,0,0
0.00118525,843.71,0.000000,0.096746,0.049790,0,0,0
0.00119931,833.81,0.000000,0.181449,0.405768,0,0,0
0.00121354,824.04,0.000000,0.035921,0.036296,0,0,0
0.00122794,814.37,0.000000,0.154421,1.430117,0,0,0
0.00124251,804.82,0.000000,0.033968,0.743871,0,0,0
0.00125725,795.39,0.000000,0.065668,0.274128,0,0,0
0.00127217,786.06,0.000000,0.029242,0.503615,0,0,0
0.00128727,776.84,0.000000,0.091850,0.077250,0,0,0
0.00130254,767.73,0.000000,0.106593,0.148216,0,0,0
0.00131800,758.73,0.000000,0.531041,0.020023,0,0,0
0.00133363,749.83,0.000000,0.132461,0.051501,0,0,0
0.00134946,741.04,0.000000,0.031821,0.008319,0,0,0
0.00136547,732.35,0.000000,0.307805,0.079078,0,0,0
0.00138167,723.76,0.000000,0.308287,0.499998,0,0,0
0.00139807,715.27,0.000000,0.432691,3.632990,0,0,0
0.00141466,706.89,0.000000,0.178958,0.821813,0,0,0
0.00143144,698.60,0.000000,0.471264,1.061318,0,0,0
0.00144843,690.40,0.000000,0.099381,1.623797,0,0,0
0.00146561,682.31,0.000000,0.262420,0.032163,0,0,0
0.00148300,674.31,0.000000,0.213564,0.291251,0,0,0
0.00150060,666.40,0.000000,0.095454,0.907526,0,0,0
0.00151841,658.59,0.000000,0.429872,0.643676,0,0,0
0.00153642,650.86,0.000000,0.053594,1.130629,0,0,0
0.00155465,643.23,0.000000,0.085335,1.203032,0,0,0
0.00157310,635.69,0.000000,0.076016,0.282443,0,0,0
0.00159177,628.23,0.000000,0.206300,0.260380,0,0,0
0.00161065,620.87,0.000000,0.268107,0.380804,0,0,0
0.00162977,613.59,0.000000,0.027641,0.205455,0,0,0
0.00164910,606.39,0.000000,0.193281,0.740588,0,0,0
0.00166867,599.28,0.000000,0.021139,0.167907,0,0,0
0.00168847,592.25,0.000000,0.230561,0.822986,0,0,0
0.00170851,585.31,0.000000,0.460110,0.424129,0,0,0
0.00172878,578.44,0.000000,0.089633,0.601943,0,0,0
0.00174929,571.66,0.000000,0.000813,0.503784,0,0,0
0.00177005,564.96,0.000000,0.400747,0.736386,0,0,0
0.00179105,558.33,0.000000,0.065144,0.436321,0,0,0
0.00181230,551.78,0.000000,0.070232,0.104857,0,0,0
0.00183381,545.31,0.000000,0.092143,1.160312,0,0,0
0.00185557,538.92,0.000000,0.290125,0.231553,0,0,0
0.00187758,532.60,0.000000,0.058032,0.530395,0,0,0
0.00189986,526.35,0.000000,0.098589,0.820462,0,0,0
0.00192241,520.18,0.000000,0.096355,0.052062,0,0,0
0.00194522,514.08,0.000000,0.111356,0.058455,0,0,0
0.00196830,508.05,0.000000,0.208478,0.020370,0,0,0
0.00199165,502.10,0.000000,0.083421,1.023685,0,0,0
0.00201528,496.21,0.000000,0.264667,0.231163,0,0,0
0.00203920,490.39,0.000000,0.307078,1.358335,0,0,0
0.00206339,484.64,0.000000,0.093553,0.230530,0,0,0
0.00208788,478.96,0.000000,0.269182,0.489670,0,0,0
0.00211265,473.34,0.000000,0.162240,0.920674,0,0,0
0.00213772,467.79,0.000000,0.100358,0.183143,0,0,0
0.00216308,462.30,0.000000,0.238169,1.318289,0,0,0
0.00218875,456.88,0.000000,0.101417,0.549171,0,0,0
0.00221472,451.52,0.000000,0.386279,1.587757,0,0,0
0.00224100,446.23,0.000000,0.010549,0.132333,0,0,0
0.00226759,441.00,0.000000,0.011272,0.253640,0,0,0
